"","SubID","MarkerID","AnnotType","Page","Xlocation","Ylocation","Xdim","Ydim","Filename","Annotation","Duration.sec","Consent"
"1",2306,"T23","Recording",1,0.4640214,0.6191826,30,30,"annot__2013_04_21_09_31_14.m4a","Annotation 6",6,"Yes"
"2",2306,"T23","Recording",4,0.5030839,0.7345571,30,30,"annot__2013_04_21_09_32_58.m4a","Annotation 8",51,"Yes"
"3",2306,"T23","Recording",1,0.3504317,0.5846292,30,30,"annot__2013_04_21_09_29_56.m4a","Annotation 5",55,"Yes"
"4",2306,"T23","Recording",3,0.448088,0.8584075,30,30,"annot__2013_04_21_09_31_51.m4a","Annotation 7",23,"Yes"
"5",2306,"T23","Recording",1,0.6629318,0.400741,30,30,"annot__2013_04_21_09_26_17.m4a","Annotation 2",11,"Yes"
"6",2307,"T21","Text",1,0.5524261,0.7236375,0.1798931,0.02700732,"","Positive/negative control",NA,"Yes"
"7",2307,"T21","Text",1,0.554996,0.7399213,0.2179276,0.02700732,"","Collection of comparative data",NA,"Yes"
"8",2307,"T21","Recording",4,0.08377881,0.657904,30,30,"ann__2013_04_21_10_20_57.m4a","Annotation 56",17,"Yes"
"9",2307,"T21","Text",4,0.4455182,0.4561433,0.365954,0.02700732,"","Also explain what hypo- and hypertonic solutions are.",NA,"Yes"
"10",2307,"T21","Text",3,0.1582031,0.5867456,0.1459704,0.02700732,"","Y axis: Absorbance",NA,"Yes"
"11",2307,"T21","Recording",1,0.06465871,0.391209,30,30,"annot__2013_04_21_10_07_46.m4a","Annotation 51",19,"Yes"
"12",2307,"T21","Freehand",4,0.1458676,0.5049948,0.007195724,0.005560332,"annot__2013_04_12_03_50_23.png","Annotation",NA,"Yes"
"13",2307,"T21","Text",4,0.138158,0.4899025,0.8162007,0.04130532,"","If the sheep blood was not initially 150 mM but higher (as you seen in green group). the closest hypotonic solution (150 mM) might yield a higher absorbance than the supposed isotonic solution.",NA,"Yes"
"14",2307,"T21","Recording",2,0.0842928,0.7681854,30,30,"ann__2013_04_21_10_15_32.m4a","Annotation 39",6,"Yes"
"15",2307,"T21","Recording",4,0.09919822,0.1956022,30,30,"ann__2013_04_21_10_16_20.m4a","Annotation 46",12,"Yes"
"16",2307,"T21","Recording",1,0.08737665,0.5024157,30,30,"ann__2013_04_21_10_06_50.m4a","Annotation 33",9,"Yes"
"17",2307,"T21","Freehand",4,0.03998766,0.5069807,0.103824,0.2188388,"annot__2013_04_12_03_50_12.png","Annotation",NA,"Yes"
"18",2307,"T21","Text",4,0.02107319,0.3620149,0.2847451,0.02700732,"","Results are interpreted in the wrong way.",NA,"Yes"
"19",2307,"T21","Text",4,0.2471217,0.3302416,0.2919408,0.02700732,"","Refer to results to back up your statement",NA,"Yes"
"20",2307,"T21","Text",1,0.5503701,0.7085451,0.2055921,0.02700732,"","wavelength of spec (540 nm)",NA,"Yes"
"21",2307,"T21","Text",2,0.1576891,0.705036,0.7010691,0.04130532,"","Describe your results stating values of your parameter (e.g. absorbance or percentage of volume) for each concentration ",NA,"Yes"
"22",2307,"T21","Recording",4,0.1037212,0.3012484,30,30,"annot__2013_04_21_10_19_37.m4a","Annotation 71",18,"Yes"
"23",2307,"T21","Recording",2,0.07750822,0.7141708,30,30,"annot__2013_04_21_10_13_46.m4a","Annotation 58",29,"Yes"
"24",2307,"T21","Freehand",3,0.1546053,0.8353719,0.01644737,0.007546164,"annot__2013_04_12_03_33_58.png","Annotation",NA,"Yes"
"25",2307,"T21","Text",3,0.1432977,0.8012155,0.6681743,0.02700732,"","Description of variable (NaCl). measured effect (absorbance). sample (sheep blood) are not provided.",NA,"Yes"
"26",2307,"T21","Text",3,0.09025493,0.8397408,0.8891858,0.04130532,"ann__2013_04_21_10_33_10.(null)","E.g. The figure represents the percentage volume/absorbance of sheep red blood cells in varying concentrations of NaCl solutions. The results of three different groups are shown in different colours. (n=3)",NA,"Yes"
"27",2307,"T21","Text",1,0.4516858,0.6930556,0.1027961,0.02700732,"","Also specify:",NA,"Yes"
"28",2307,"T21","Highlight",4,0.2147409,0.3270642,0.5633224,0.1060435,"annot__2013_04_12_03_42_29.png","Annotation",NA,"Yes"
"29",2307,"T21","Text",6,0.1713268,0.180905,0.294682,0.03600977,"ann__2013_04_12_03_36_42.(null)","Text citations are not provided.",NA,"Yes"
"30",2307,"T21","Text",1,0.5493422,0.6950415,0.1511102,0.02700732,"","Ratio of blood (1:20)",NA,"Yes"
"31",2307,"T21","Text",4,0.3035568,0.3580432,0.652755,0.04130532,"","In hypotonic environment. water moves from ECF (lower solute concentration. <150 mM) into ICF (sheep blood = 150 mM)",NA,"Yes"
"32",2307,"T21","Freehand",4,0.01942845,0.3552631,0.6558388,0.06950414,"annot__2013_04_12_04_00_38.png","Annotation",NA,"Yes"
"33",2309,"T10","Text",6,0.1308594,0.7557372,0.7370477,0.04130532,"","Try to check your formatting before submitting your report. as it is obvious that some parts of the answers were copy pasted directly from the websites.",NA,"Yes"
"34",2309,"T10","Text",1,0.1290091,0.6402324,0.833676,0.04130532,"ann__2013_04_22_11_12_40.(null)","Methods has all the important detail. missed specifying which concentrations were hypo. hypertonic. collection of comparative data?controls?",NA,"Yes"
"35",2309,"T10","Text",5,0.5426604,0.5177693,0.3001645,0.02700732,"","Will need references to support explanation",NA,"Yes"
"36",2309,"T10","Freehand",2,0.1057771,0.5560985,0.8465255,0.1568808,"annot__2013_04_22_11_13_18.png","Annotation",NA,"Yes"
